product,product_link,price,weight,maker,description,img_src
Yamamoto Seifun Tanuki Oyaji no Ippin Tonkotsu Style Spicy Ramen Noodles,https://www.japancentre.com/en/products/19610-yamamoto-seifun-tanuki-oyaji-no-ippin-tonkotsu-style-spicy-ramen-noodles,£8.49,"450g , 5 servings",Yamamoto Seifun,,https://cdn.media.amplience.net/i/japancentre/19615-1-yamamoto-seifun-ponpoko-yakisoba-stir-fry-noodles?w=250&h=250&sm=c&fmt=auto
Nong Shim Soon Veggie Noodle,https://www.japancentre.com/en/products/10935-nong-shim-soon-veggie-noodle,£1.22,67g,Nong Shim,Savoury flavour with no meat needed.,https://cdn.media.amplience.net/i/japancentre/2791-1-nong-shim-udon?w=250&h=250&sm=c&fmt=auto
Garak Instant Kimchi Ramen,https://www.japancentre.com/en/products/19111-garak-instant-kimchi-ramen,£1.49,120g,GARAK,A bold and savoury kimchi instant ramen.,https://cdn.media.amplience.net/i/japancentre/2797-1-Nong-Shim-Kimchi-Noodle-Soup-Ramen-(Kimuchi-Ramen)?w=250&h=250&sm=c&fmt=auto
Otafuku Yaki-Udon Stir-Fry Noodles with Sauce,https://www.japancentre.com/en/products/19910-otafuku-yaki-udon-stir-fry-noodles-with-sauce,£2.45,420g,Otafuku,"Satisfy your hunger with these chewy and hearty stir-fried udon noodles. Coated in a rich, sweet sauce made from a blend of vegetables and fruits, they're perfect for a flavorful meal.",https://cdn.media.amplience.net/i/japancentre/16431-1-Otafuku-Yakisoba-Sauce-Catering-Size?w=250&h=250&sm=c&fmt=auto
Higashimaru Yakisoba Instant Noodles,https://www.japancentre.com/en/products/19645-higashimaru-yakisoba-instant-noodles,£6.23,"410g , 5 packs",Higashimaru,"Bring the irresistible aroma of street-style yakisoba into your home with our animal-free yakisoba noodles. Effortlessly recreate the delicious flavors of your favorite food stall yakisoba in your own kitchen. Just add your choice of vegetables or seafood to enhance the taste even further. Each pack contains enough for 5 servings, ensuring there's plenty to go around for the whole family to enjoy.",https://cdn.media.amplience.net/i/japancentre/19615-1-yamamoto-seifun-ponpoko-yakisoba-stir-fry-noodles?w=250&h=250&sm=c&fmt=auto
Higashimaru Samurai Ramen,https://www.japancentre.com/en/products/19644-higashimaru-samurai-ramen,£3.36,220g,Higashimaru,"Bring the irresistible aroma of street-styleyakisobainto your home with our animal-free yakisoba noodles. Effortlessly recreate the delicious flavours of your favourite food stall yakisoba in your own kitchen. Just add your choice of vegetables or seafood to enhance the taste even further. Each pack contains enough for 5 servings, ensuring there's plenty to go around for the whole family to enjoy.",https://cdn.media.amplience.net/i/japancentre/13827-1-Higashimaru-Vegan-Samurai-Meat-Free-Ramen?w=250&h=250&sm=c&fmt=auto
Nong Shim Gourmet Spicy Shin Ramen,https://www.japancentre.com/en/products/2214-nong-shim-gourmet-spicy-shin-ramen,£1.32,120g,Nong Shim,Nong Shim instant ramen noodles are a Korean variety of noodle flavoured with spicy chilli. This packet of instant ramen noodles contains enough dried ramen for one serving and a sachet of hot and spicy Korean chilli sauce to make the soup. Easily enjoy the tastyramen noodlesin a few minutes.,https://cdn.media.amplience.net/i/japancentre/2797-1-Nong-Shim-Kimchi-Noodle-Soup-Ramen-(Kimuchi-Ramen)?w=250&h=250&sm=c&fmt=auto
Nissin Soba Fried Noodles Classic Yakisoba (UK),https://www.japancentre.com/en/products/11145-nissin-soba-fried-noodles-classic-yakisoba-uk,£1.06,109g,Nissin Foods,Savouryyakisobaready in minutes.,https://cdn.media.amplience.net/i/japancentre/11148-1-Nissin-Soba-Fried-Noodles-Chilli-Yakisoba-(UK)?w=250&h=250&sm=c&fmt=auto
Yamamoto Seifun Tanuki Oyaji no Ippin Tonkotsu Style Ramen Noodles,https://www.japancentre.com/en/products/19609-yamamoto-seifun-tanuki-oyaji-no-ippin-tonkotsu-style-ramen-noodles,£8.49,"450g , 5 servings",Yamamoto Seifun,"Savour the rich and creamy goodness of the Pork Bone Style Ramen, crafted with minimal allergens to ensure a satisfying dining experience. Each pack contains five servings of hearty, thick, and creamy broth, perfect for a comforting meal anytime.",https://cdn.media.amplience.net/i/japancentre/18097-1-Higashi-Foods-Kagoshima-Style-Spicy-Tonkotsu-Pork-Stock-Flavour-Ramen?w=250&h=250&sm=c&fmt=auto
Garak Instant Seafood Ramen,https://www.japancentre.com/en/products/19112-garak-instant-seafood-ramen,£1.49,120g,GARAK,A flavourful instant ramen with seafood-inspired ingredients.,https://cdn.media.amplience.net/i/japancentre/19111-1-garak-kimchi-flavour-ramen-noodle?w=250&h=250&sm=c&fmt=auto
Samyang Foods Spicy Flavoured Cup Ramen Noodles,https://www.japancentre.com/en/products/16424-samyang-foods-spicy-flavoured-cup-ramen-noodles,£0.97,65g,Samyang Foods,Chewyramen noodleswith Samyang's original spicy flavour tast.,"https://cdn.media.amplience.net/i/japancentre/2727-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen,-Small?w=250&h=250&sm=c&fmt=auto"
Samyang Foods Hot Chicken Flavoured Ramen Noodles Big Bowl,https://www.japancentre.com/en/products/15460-samyang-foods-hot-chicken-flavoured-ramen-noodles-big-bowl,£1.99,105g,Samyang Foods,Super spicy chicken flavoured ramen to burn your hunger away.,https://images.japancentre.com/images/pics/21300/medium/16422-Samyang_Foods_Extra_Spicy_Hot_Chicken_Flavoued_Ramen_Big_Bowl.jpg
Nissin Big Soba Noodles with Chilli Yakisoba Sauce,https://www.japancentre.com/en/products/18679-nissin-big-soba-noodles-with-chilli-yakisoba-sauce,£2.36,115g,Nissin Foods,"Spicy instant wok-style soba noodles, big-size.",https://cdn.media.amplience.net/i/japancentre/18681-1-Nissin-Soba-Big-Cup-Teriyaki?w=250&h=250&sm=c&fmt=auto
Nissin Big Soba Noodles with Chilli Yakisoba Sauce,https://www.japancentre.com/en/products/18681-nissin-big-soba-noodles-with-chilli-yakisoba-sauce,£2.49,113g,Nissin Foods,"Enjoy the savory-sweet taste of teriyaki-flavored sauce coating the noodles in this generously sized cup yakisoba. With its satisfying crunch and delicious aroma, it's perfect for lunch or anytime you're craving a filling meal, enjoy tastyyakisobaanywhere.",https://cdn.media.amplience.net/i/japancentre/18679-1-Nissin-Soba-Big-Cup-Chilli?w=250&h=250&sm=c&fmt=auto
Yamamoto Seifun Ponpoko Yakisoba Stir Fry Noodles,https://www.japancentre.com/en/products/19615-yamamoto-seifun-ponpoko-yakisoba-stir-fry-noodles,£6.36,"534g , 6 servings",Yamamoto Seifun,,https://cdn.media.amplience.net/i/japancentre/19645-1-higashimaru-yakisoba-instant-noodles?w=250&h=250&sm=c&fmt=auto
Nissin Big Soba Noodles with Classic Yakisoba Sauce,https://www.japancentre.com/en/products/18680-nissin-big-soba-noodles-with-classic-yakisoba-sauce,£2.36,113g,Nissin Foods,The taste of Japan's iconic yakisoba flavour in a convenient instant cup format.,https://cdn.media.amplience.net/i/japancentre/18681-1-Nissin-Soba-Big-Cup-Teriyaki?w=250&h=250&sm=c&fmt=auto
Higashimaru Tonkotsu Kagoshima Ramen,https://www.japancentre.com/en/products/19648-higashimaru-tonkotsu-kagoshima-ramen,£6.23,"390g , 5 packs",Higashimaru,Indulge in the savoury goodness offlavoured ramen noodles.,https://cdn.media.amplience.net/i/japancentre/2797-1-Nong-Shim-Kimchi-Noodle-Soup-Ramen-(Kimuchi-Ramen)?w=250&h=250&sm=c&fmt=auto
Hikari Miso Menraku Vegetarian Miso Ramen Noodles,https://www.japancentre.com/en/products/19661-hikari-miso-menraku-vegetarian-miso-ramen-noodles,£3.19,"185g , 2 servings",Hikari Miso,"A flavourfulramenthat doesn't contain any animal-derived ingredients. Crafted using only vegetables, it brings out rich umami flavours, offering a hearty miso-style ramen experience.",https://cdn.media.amplience.net/i/japancentre/14342-1-Hikari-Miso-Menraku-Vegetarian-Miso-Tonkotsu-Ramen-Noodles?w=250&h=250&sm=c&fmt=auto
Nong Shim Kimchi Ramen Multipack,https://www.japancentre.com/en/products/18733-nong-shim-kimchi-ramen-multipack,£5.97,"600g , 5 packs",Nong Shim,Featuring the rich flavours of crunchy Napa cabbage kimchi with a mild level of spiciness.,https://cdn.media.amplience.net/i/japancentre/2214-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen?w=250&h=250&sm=c&fmt=auto
Samyang Foods Buldak Extremely Spicy Hot Chicken Flavoured Ramen Noodles Multi-Pack,https://www.japancentre.com/en/products/15449-samyang-foods-buldak-extremely-spicy-hot-chicken-flavoured-ramen-noodles-multi-pack,£6.69,"700g , 5 packs",Samyang Foods,Super spicy chicken flavoured stir fried to burn your hunger away.,"https://cdn.media.amplience.net/i/japancentre/15460-1-Samyang-Foods-Hot-Chicken-Flavoured-Ramen-Noodles,-Big-Bowl (2)?w=250&h=250&sm=c&fmt=auto"
Garak Stir Fried Hot Chicken Ramen,https://www.japancentre.com/en/products/19822-garak-stir-fried-hot-chicken-ramen,£1.19,130g,GARAK,"Experience intense heat and savoury flavour with this instant Korean hot chicken ramen. Quick to prepare, these chewy noodles bring bold spice to every bite. Ideal for fans of spicy food, it’s a satisfying and flavourful meal that delivers top-notch taste in minutes.",https://cdn.media.amplience.net/i/japancentre/18759-1-samyang-foods-hot-chicken-ramen-double-spicy-multi-pack?w=250&h=250&sm=c&fmt=auto
Samyang Foods Buldak Instant Hot Chicken Flavour Ramen With Kimchi,https://www.japancentre.com/en/products/18137-samyang-foods-buldak-instant-hot-chicken-flavour-ramen-with-kimchi,£6.45,"675g , 5 packs",Samyang Foods,Tantalisingly spicy and tangy ramen.,https://cdn.media.amplience.net/i/japancentre/18759-1-samyang-foods-hot-chicken-ramen-double-spicy-multi-pack?w=250&h=250&sm=c&fmt=auto
